Model,Base year,Literature Reference,
7see Mk5-20 GB,2012,https://www.pure.ed.ac.uk/ws/portalfiles/portal/24731981/paper.pdf,
7see Mk5-30 GB,2016,https://bura.brunel.ac.uk/bitstream/2438/16523/4/FullText.pdf,
7see Mk6-10 GB,,,
AIM/CGE 2.0,2005,https://www.nies.go.jp/social/publications/dp/pdf/2012-01.pdf,
AIM/CGE 2.1,2005,,
AIM/CGE 2.2,2005,,
AIM/CGE-Enduse-Japan 1.0,,,
AIM/CGE-Korea 2.1,,,
AIM/Enduse India 3.1,,,
AIM/Enduse-India 3.2,,,
AIM/Enduse-Japan 2.1,2010,,
AIM/Hub-China 2.2,2005,,
AIM/Hub-Global 2.0,2005,https://www.iamcdocumentation.eu/Reference_card_-_AIM-Hub,
AIM/Hub-India 2.2,2005,,
AIM/Hub-Indonesia 2.0,2005,,
AIM/Hub-Japan 2.1,2005,,
AIM/Hub-Korea 2.0,2005,,
AIM/Hub-Thailand 2.0,2005,,
AIM/Hub-Thailand 2.2,2005,,
AIM/Hub-Vietnam 2.2,2005,,
AIM/Transport-National 1.0,,,
ALADIN 1.0,2020,https://www.sciencedirect.com/science/article/pii/S2211467X23001943?via%3Dihub,
ANSWERMARKAL-INDIA 1.0,,,
BENCH-NLD 1.0,,,
BET EMF33,2010,https://www.iamcdocumentation.eu/Reference_card_-_BET,
BLUES-Brazil 1.0,2010,https://www.iamcdocumentation.eu/Reference_card_-_BLUES,
BLUES-Brazil 2.0,,,
C3IAM 1.0,,,
C3IAM 2.0,2011,https://www.iamcdocumentation.eu/C3IAM,
CEPRO-CHN 1.0,,,
C-GEM 3.0,2020,https://www.mdpi.com/1996-1073/18/6/1507#app1-energies-18-01507,
CGE-MOD 1.0,,,
COFFEE 1.1,2010,https://www.iamcdocumentation.eu/Reference_card_-_COFFEE-TEA,
CONTO-RUS 1.0,2010,https://www.i2am-paris.eu/detailed_model_doc/conto,
COPPE_MSB-Brazil 2.0,,,
COPPE-COFFEE 1.0,,,
C-ROADS-5.005,1850,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/05/SR15_Chapter2_SM_High_Res.pdf,
DART 1.0,2011,https://linkinghub.elsevier.com/retrieve/pii/S0301421521005383,
DDPP Energy 1.0,,,
DEG-USA 1.0,,,
DNE21+ V.14 (national),2000,,
DNE21+ V.14C,2000,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/05/SR15_Approval_Chapter_2_SM.pdf,
DNE21+ V.14E1,2000,,
DNE21+ V.14E2,2000,,
DNE21+ V.15,2000,,
DNE21+ V.ADVANCE,2000,,
DNE21-Japan 1.3,2000,,
DREAM-China 1.1,,,
DREAM-China 2.0,,,
E3ME 6.1,2005,https://ledsgp.org/app/uploads/2015/09/E3ME-Manual.pdf,
E4SMA-EU-TIMES 1.0,2010,https://www.e4sma.com/en/eu-times_en/,
ECCABS 2.0,,,
EC-MSMR 1.0,2011,https://www.sciencedirect.com/science/article/abs/pii/S0301421520303372?via%3Dihub,
EDF-GEPA 1.0,,,������� ����
EDGE-Buildings 1.0,,,
EDGE-Buildings 2.0,,,
EDGE-Buildings 3.0,,,
ELENA-Ecuador 1.0,2015,https://www.iamconsortium.org/resources/model-resources/elena-ecuador-land-use-and-energy-network-analysis-model/,
EnergyPATHWAYS-USA 1.0,,,
En-ROADS-96,1990,https://docs.climateinteractive.org/projects/en-roads-reference-guide/en/latest/pages/comparison_history.html,
ENVISAGE 10.01,2014,GTAP v10,
ENV-Linkages 3.0,2007,https://www.oecd.org/content/dam/oecd/en/publications/reports/2014/06/an-overview-of-the-oecd-env-linkages-model_g17a24cf/5jz2qck2b2vd-en.pdf,
EPPA 6,2007,https://www.iamcdocumentation.eu/Reference_card_-_EPPA,
eTIMES-EU 1.0,2010,https://www.i2am-paris.eu/detailed_model_doc/eu_times,
FARM 3.2,2011,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/05/SR15_Chapter2_SM_High_Res.pdf,
GAINS-dw4,,,
GCAM 4.0,2010,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/05/SR15_Approval_Chapter_2_SM.pdf,
GCAM 4.2,2010,https://jgcri.github.io/gcam-doc/v4.2/overview.html,
GCAM 5.2,2010,https://doi.org/10.1016/j.egycc.2022.100075,
GCAM 5.3,2015,https://doi.org/10.5194/gmd-15-2533-2022,
GCAM5.2_NET,2010,,
GCAM-Canada 4.2,2010,,
GCAM-KAIST 1.0,2010,https://doi.org/10.1016/j.egycc.2022.100075,
GCAM-PR 5.3,2010,,
GCAM-USA 4.2,2010,,
GCAM-USA 5.3,2015,https://doi.org/10.5194/gmd-15-2533-2022,
GCAM-USA_CDLINKS,,,
GEM-E3 V1,2011,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/05/SR15_Approval_Chapter_2_SM.pdf,
GEM-E3_V2021,,,
GEMINI-E3 7.0,2014,https://www.i2am-paris.eu/detailed_model_doc/gemini_e3,
GEMINI-E3 CHE 3.0,,,
GEMINI-E3+CHE+3.0,,,
GENeSYS-MOD 1.0,2015,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/05/SR15_Chapter2_SM_High_Res.pdf,
GENeSYS-MOD 2.9,2015,https://www.iamcdocumentation.eu/GENeSYS-MOD,
GENeSYS-MOD-CHN 2.3,2015,,
GENeSYS-MOD-MEX 2.1,2015,,
Global TIMES 2.0,,,
Global Transportation Roadmap 2019.05,,,
GMM-17,,,
